id,nChunks,chunkSize,bytes,fees,hash
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,1,1,865,198488,c7082b92e1f8b9dc71f3e43a240adf76557b835422fdf33dd05eb8a68ed94402
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,1,2,932,201436,d4440e206da7e14c7c7f37a52ac8a7819d8f9029d5cf28ddaa7866bcb354f82f
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,1,3,999,204384,c7894afdbaae5388584863ffd95725adda97b3e3ac7d5a3b02fddf54632b846c
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,1,4,1067,207376,4a153dcc0a0821496376bfd9fd56d30e57572474584ae79a0a6e220e4bf82b09
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,1,5,1134,210324,7d5cf8349b3ba7825c94e4b5cf283d73fdc4dbf08ca2a2234de95b6c85b13e87
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,1,6,1201,213272,76f2234d594102007166725e245bbd2360b09c7a6374082e44bdfa8682d38a75
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,1,7,1268,216220,88ee221e8778a8802e6cb4a74a1455850ce10fc20e41238aacc5abfdfe130cbb
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,1,8,1335,219168,123fb14e3dc73562f76467d53d37265ca57b3713b571e4a0f62403a528d3ed62
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,1,9,1402,222116,bb0931f1c4a4ed0acde416df7401949295b8b009a774b34714d499e72dd83846
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,1,10,1469,225064,f3dea4d511f45b962be366b7dd1a1e5fc8fb54ddbb254a5591ea84416a91bde9
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,2,1,1352,224918,7b1fa39c4e8e0b6254513960257d502941f5fd192fbe0b073d28c55a70e5dfe2
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,2,2,1486,230814,e13405f34fefc5bd3fe6ae1541b62ec4ff00c26645baedf42677125523afccf3
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,2,3,1620,236710,28ab9bb68c11cf11f77397d4c4dec1547014e0858d9de0d01702b6eeea7ce1b1
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,2,4,1756,242694,7c360a7a5bbfae9a9c752a40218eaf1fcfe5135bab1b12b66a3ec50168b563cc
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,2,5,1890,248590,6fbc947fad1a8601a2f324a9b92c12b3820f0d8631a5231d1d213f0c938b1027
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,2,6,2024,254486,db9c319e336805be8e3d75887cf8b7e9d93ebb46ad5da0a5c43225b9bde3ad5c
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,2,7,2158,260382,cc7248f9063dc136a0cbca126bcb60fc21466cf52f466c4e60a452b0b58d4832
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,2,8,2292,266278,0411fb6e3d4a9a59e5d7996d82374fefca78a92254aa0774927b1dea22945bd7
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,2,9,2426,272174,daa9f91db73910dea0d7e35ebedd8562c2377365c3a5e04cdc2765da389897fe
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,2,10,2560,278070,42a489c74b98be5cf14833c7aa131ca3a21fbbd619c426b11ced89e8147936b2
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,3,1,1839,251349,af72a4f8f17e443bfcc402d8cf7cc51883a5ca87e33843aeca6b6eb6a7f4654a
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,3,2,2040,260193,5a03f95aca979ab7bf37f44fa1021c38f7ec9b1555a3d843aa1e0a4455faa058
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,3,3,2241,269037,7c8e8eb8d35c3279d2e38b278fda14402df23675f83c47ff8ed9398ef520e76c
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,3,4,2445,278013,eac48a246e744b3acd93372cd0ef6c216d0ee7a2899518e1d6e81e9772e451c3
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,3,5,2646,286857,eb69684f0d61dd917657c98c283acb2628c262a62b85403669ce7ca974406546
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,3,6,2847,295701,260a8b3257c1ef2b3ab5c9b8a499f2bacb0e241791585f13e0df03deff1c163c
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,3,7,3048,304545,678185d6eed233d4bdfdcce579942a564f35f517106ca23767c9e36528300ecd
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,3,8,3249,313389,b57e889a317ef68be743e50e51d13f9891f112024cb4631b00c6c0b706e7d98b
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,3,9,3450,322233,312d9038073d2468fea693515b18f8fcfccbdd5a89c83f37880b39f28773751a
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,3,10,3651,331077,28478817ed0e47bd349a1d6f092cb3cd740d53b844381fed9e32c0844e575dfe
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,4,1,2326,277779,229f982d958bb5d5084491b0b630cddaed70e0f75c54341db683bed2610fef91
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,4,2,2594,289571,c5cb8bf2da2a5912db8e3930152b338cb77d0ca03aafa511208baee52aa73efe
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,4,3,2862,301363,61b4f9229bbd9bde29ff1d7b902ca11d727e5262fb5d7b202cbd1589b67956da
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,4,4,3134,313331,96d1ca7b009ef3f28d5165e6fd42b7f0c12bcd1c193c5b6b8defcd7eda33d645
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,4,5,3402,325123,13e5853b23c5aa0d7c25a4e1f3a8ec430e9e1de101f43e611999ca3a00b5b406
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,4,6,3670,336915,052edbdaff18c79fac5ffe2028920192734ef7668e1b55b3506f919d394cdc52
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,4,7,3938,348707,70322d914121c659f527fc04fbbacddc41e7b73e6ae195d0e00fe6b275fe1e44
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,4,8,4206,360499,8e813c03daee4ee14a8a36246daeaf94c21527acad63d9241d9ba7756618f6ea
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,4,9,4474,372291,0a19b300ce68140f917fb2a7bea6043cdb26107e79e4df958c901fd59556c44c
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,4,10,4742,384083,91fbd6913bd8f2b06b39f143916eebe5da1d66394c9e0a26361abb69c5009ebe
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,5,1,2813,304209,3d8685d8ae0c5e69a2bfb02e82b9729860f2d59f56cedccdb66965189758bbf6
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,5,2,3148,318949,c7d0eefc26ac79b13614afa621debd34167d3344ed0bc0aa5aea225706081a71
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,5,3,3483,333689,929b29e9139f11d6fc5a9cc5ee69fa9246e4bd98a1d70681480d2a9fcdc344a7
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,5,4,3823,348649,5868054a6e3d0cb94d15d64b3e6e375f01195502066c6aa38e5ddde816ff8e09
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,5,5,4158,363389,ac9a4d1f93acd74b9f751f56e1e13b31b3042d3d8294ea105f28cd6ff4386505
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,5,6,4493,378129,b70fbdad3dad17cfa4458365804387130dc5db226fb3a6e6dc3b4b03ce85980e
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,5,7,4828,392869,1db9de8abeec0c129d2b2d6b84c823450953f9883041b7869e37275eee13b9ad
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,5,8,5163,407609,fb37374604245c40b6e595c94d7cb9c7c8a8e6ba9033d97ecf7d59c7e893aee6
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,5,9,5498,422349,9f7e1430d571c660ee3b4b0ce143d32746328572383ce5adff808ea4fa26275f
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,5,10,5833,437089,f506ffb9f7160f6d6746614e72a3e4ffd9058e19a2ba170c5d9b9d4d61b482bf
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,6,1,3300,330640,7a6d2d6e69d9d882d1cc722ed8708787383d1cb898a1ac0ac4d43f26a07b4ada
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,6,2,3702,348328,241b7a1d7a8f7d8e9e6378853edc0dac2e474b8889397830743990adfc1b8d0f
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,6,3,4104,366016,3436490941af5f67bf9c8a46de8faa22e8e24e3e17ec868b1767ae2ce61f8fad
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,6,4,4512,383968,5708e12f0bd85a737f3166bd987e1ca56a1a1279cf5c0504570ccef05266376c
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,6,5,4914,401656,aaf3ed0e5390a913c92e4ac108d6a90cb98bd8b4f6543b7f56ec0f793e47af03
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,6,6,5316,419344,1958c8fd33c9468a3794af02f373298ad9dce249e892d394232614733e5cad1f
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,6,7,5718,437032,e953df485354d58360da1d6b1c3e4821bdbc0718fc5052c378707a203e6dac41
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,6,8,6120,454720,6e3394f8a34624a1509cd04d0281ac327c0e8871c28698e68d848262b816835b
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,6,9,6522,472408,6f5260826bd9c328a696bb6cfa9625fd1ae7ac60b642e3e51658ebce2df8cc44
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,6,10,6924,490096,99b749b25cb42e4365b52d4c5295157360d49d83ed0740cc9a8590a4baad2e01
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,7,1,3787,357070,08600453249d39d008f82159e2a321e5fc19681c73cb1d5923bba92ab10025a3
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,7,2,4256,377706,6712bf3bb01933cceb6b4ce90db4adb488e141da0f5297210a08c65f604cd902
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,7,3,4725,398342,d460eec8e0b07fef3a712633674b021b55c72636d9fe6a2600b8f7f48df7a12a
KwslJ4054LYvm4NYVXPZtvq9hpR8tqFV,7,4,5201,419286,9b694f64539e2854d3f12f1ea8b8927205723f8d2a5cca5dcee8e2068ffd8579
